Unnamed: 0,Case Number,Project Names,Amount,Date,Beneficiaries,Beneficiary type,Number of donations,Partner,Location,Details URL,Hijri_Month
14,P49492,إكرام الموتى,70000,2025-03-05,686,المواطنون والمقيمون بالمملكة,5192,جمعية الإحسان لشؤون الموتى بمحافظة وادي الدواسر,وادى الدواسر,https://ehsan.sa/projects/0/48493?amount=null,رمضان
15,P49589,عملية جراحية لمريضة متعففة,19340,2025-03-05,1,المقيمون بالمملكة,464,جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/48590?amount=null,رمضان
16,P49578,توفير الأدوية للمرضى المتعففين,377000,2025-03-05,205,المواطنون والمقيمون بالمملكة,9167,الجمعية الخيرية لتوفير الدواء للجميع بمكة المكرمة,النزهة - مكة المكرمة,https://ehsan.sa/projects/0/48579?amount=null,رمضان
17,P49577,إفطار الصائمين,500000,2025-03-05,71428,المواطنون والمقيمون بالمملكة,41122,جمعية إكرام عابري السبيل,الرياض,https://ehsan.sa/projects/0/48578?amount=null,رمضان
18,P49574,وجبات إفطار الصائمين,350000,2025-03-05,50000,المواطنون والمقيمون بالمملكة,17441,جمعية إكرام لحفظ النعمة بخميس مشيط,خميس  مشيط,https://ehsan.sa/projects/0/48575?amount=null,رمضان
19,P49575,سقيا الماء للصائمين,150000,2025-03-04,538,المواطنون,10823,جمعية البر الخيرية بوادي ليه,السر,https://ehsan.sa/projects/0/48576?amount=null,رمضان
20,P49579,السلال الرمضانية للأرامل والمطلقات,51200,2025-03-04,128,المواطنون,473,جمعية ساعي لخدمة الارامل والمطلقات بمركز فضلا,مركز فضلا,https://ehsan.sa/projects/0/48580?amount=null,رمضان
21,P49573,إفطار الصائمين,204000,2025-03-04,17000,المقيمون بالمملكة,15396,جمعية الدعوة والارشاد وتوعية الجاليات بالروضة,الرياض,https://ehsan.sa/projects/0/48574?amount=null,رمضان
22,P49563,جلسات غسيل الكلى,496800,2025-03-04,15,المقيمون بالمملكة,11481,جمعية الكوثر الصحية بعسير,أبها,https://ehsan.sa/projects/0/48564?amount=null,رمضان
23,P49547,سقيا الماء للمتعففين,200000,2025-03-04,200000,المواطنون والمقيمون بالمملكة,19276,جمعية التنمية الأهلية ببحرة المجاهدين,بحرة,https://ehsan.sa/projects/0/48548?amount=null,رمضان
24,P49572,وجبات الإفطار لضيوف الرحمن,100000,2025-03-04,9000,المواطنون والمقيمون بالمملكة,8219,جمعية مائدة الرحمن,مكة المكرمة,https://ehsan.sa/projects/0/48573?amount=null,رمضان
25,P49479,كفالة رواتب معلمي تحفيظ القرآن الكريم,90000,2025-03-04,10,المواطنون والمقيمون بالمملكة,6360,جمعية تحفيظ القرآن الكريم بأم القلبان,حائل,https://ehsan.sa/projects/0/48480?amount=null,رمضان
26,P49564,مريض متعفف مصاب بالتهاب في مفصل الفخذ,32000,2025-03-04,1,المقيمون بالمملكة,327,جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/48566?amount=null,رمضان
27,P49545,وجبات الإفطار لضيوف الرحمن,500000,2025-03-03,33333,المواطنون والمقيمون بالمملكة,23815,جمعية أرزاق لحفظ النعمة,مكة المكرمة,https://ehsan.sa/projects/0/48546?amount=null,رمضان
28,P49498,توفير الأدوية لمرضى السكري,505750,2025-03-03,289,المواطنون والمقيمون بالمملكة,13343,جمعية اصدقاء مرضى السكر الخيرية,جدة,https://ehsan.sa/projects/0/48499?amount=null,رمضان
29,P49520,الكفالة التعليمية للأيتام الجامعيين,282000,2025-03-03,47,المواطنون,2712,الجمعية الخيرية لرعاية الأيتام بحائل رفاق,حائل,https://ehsan.sa/projects/0/48521?amount=null,رمضان
30,P49557,عملية في الرقبة لمريضة متعففة,26000,2025-03-03,1,المقيمون بالمملكة,77,جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/48558?amount=null,رمضان
31,P49452,طباعة ونشر المصاحف,680000,2025-03-03,40000,المواطنون والمقيمون بالمملكة,51855,مجمع الملك فهد لطباعة المصحف الشريف بالمدينة المنورة,المدينة المنورة,https://ehsan.sa/projects/0/48453?amount=null,رمضان
32,P49554,السلال الرمضانية للأسر المتعففة,89000,2025-03-03,89,المواطنون,6321,جمعية الخدمات الانسانية في نجخ الجنوبي,مركز نجخ - ضريه,https://ehsan.sa/projects/0/48555?amount=null,رمضان
33,P49524,وجبات إفطار الصائمين,160500,2025-03-02,535,المواطنون والمقيمون بالمملكة,8846,جمعية الدعوة والإرشاد وتوعية الجاليات بالعقيق,العقيق,https://ehsan.sa/projects/0/48525?amount=null,رمضان
34,P49523,سقيا الماء,129800,2025-03-02,100,المواطنون,10151,جمعية الثريا للمكفوفين,جازان,https://ehsan.sa/projects/0/48524?amount=null,رمضان
35,P49521,تأثيث منازل المتعففين,120000,2025-03-02,40,المواطنون,2083,جمعية الخدمات الانسانية ببدائع البادية,الحائط,https://ehsan.sa/projects/0/48522?amount=null,رمضان
36,P49490,السلال الرمضانية للأسر المتعففة,180000,2025-03-02,191,المواطنون,5690,جمعية البر الخيرية بمركز العصلة,تربة,https://ehsan.sa/projects/0/48491?amount=null,رمضان
37,P49491,التكفل بالعمرة للجاليات,40000,2025-03-02,149,المقيمون بالمملكة,2363,جمعية الدعوة والإرشاد وتوعية الجاليات بالناصفة,الناصفة - القريات,https://ehsan.sa/projects/0/48492?amount=null,رمضان
38,P49487,سقيا الماء للأسر المتعففة,205000,2025-03-02,410,المواطنون,13086,جمعية التنمية الاهلية بحقال,حقال,https://ehsan.sa/projects/0/48488?amount=null,رمضان
39,P49481,إفطار الصائمين,500000,2025-03-01,71428,المواطنون والمقيمون بالمملكة,22036,جمعية إكرام عابري السبيل,الوديعة,https://ehsan.sa/projects/0/48482?amount=null,رمضان
40,P49382,تأمين أجهزة القوقعة للمتعففين,360000,2025-03-01,6,المواطنون,15871,الجمعية الصحية التطوعية في الزلفي,الزلفي,https://ehsan.sa/projects/0/48384?amount=null,رمضان
41,P49480,السلال الرمضانية للأسر المتعففة,100000,2025-02-28,125,المواطنون والمقيمون بالمملكة,2879,عِلم,بيشة,https://ehsan.sa/projects/0/48481?amount=null,شعبان
42,P49477,وجبات إفطار الصائمين,192000,2025-02-28,400,المواطنون والمقيمون بالمملكة,7137,جمعية الدعوة والإرشاد وتوعية الجاليات في سميراء,سميراء,https://ehsan.sa/projects/0/48479?amount=null,شعبان
43,P49475,عملية في العمود الفقري لطفل,85000,2025-02-28,1,المقيمون بالمملكة,3366,جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/48476?amount=null,شعبان
44,P49420,دعم حلقات تحفيظ القرآن الكريم,300000,2025-02-28,318,المواطنون والمقيمون بالمملكة,22133,الجمعية الخيرية لتحفيظ القران الكريم بالمحاني,الطائف,https://ehsan.sa/projects/0/48421?amount=null,شعبان
45,P49470,وجبات الإفطار للصائمين,80000,2025-02-28,200,المواطنون والمقيمون بالمملكة,2349,جمعية حفظ النعمة الخيرية بالبدائع,البدائع,https://ehsan.sa/projects/0/48471?amount=null,شعبان
46,P49474,عملية لشاب يعاني من التخثر,25000,2025-02-28,1,المقيمون بالمملكة,424,جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/48475?amount=null,شعبان
47,P49352,سقيا الماء لضيوف الرحمن,500000,2025-02-28,500000,المواطنون والمقيمون بالمملكة,31347,جمعية إكرام لحفظ الطعام,مكة المكرمة,https://ehsan.sa/projects/0/48353?amount=null,شعبان
48,P49322,السلال الغذائية للأسر المتعففة,547200,2025-02-27,228,المواطنون,25057,جمعية الريان الخيرية بوادي جازان,الريان,https://ehsan.sa/projects/0/48323?amount=null,شعبان
49,P49458,توفير اللحوم للأسر المتعففة,65600,2025-02-26,41,المواطنون,303,جمعية البر الخيرية بالحرجة,الحرجة,https://ehsan.sa/projects/0/48459?amount=null,شعبان
50,P49384,الأجهزة الطبية لكبار السن,250000,2025-02-26,70,المواطنون والمقيمون بالمملكة,15732,جمعية عطاء الطبية بمحافظة صامطة,صامطة,https://ehsan.sa/projects/0/48385?amount=null,شعبان
51,P49440,عملية تغيير مفصل الركبة لمريضة مسنة,42000,2025-02-24,1,المقيمون بالمملكة,924,جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/48441?amount=null,شعبان
52,P49431,تموين الأسر المتعففة,79200,2025-02-23,165,المواطنون,3740,جمعية البر الخيرية بالجفن,الحيسونية,https://ehsan.sa/projects/0/48432?amount=null,شعبان
53,P49433,وجبات إفطار الصائمين,198000,2025-02-23,10000,المواطنون والمقيمون بالمملكة,5083,جمعية عطاء لخدمة ضيوف الرحمن,مكة المكرمة,https://ehsan.sa/projects/0/48434?amount=null,شعبان
54,P49432,سقيا الماء,180000,2025-02-23,20000,المواطنون والمقيمون بالمملكة,16690,جمعية ماء لخدمات المياه,رياض الخبراء,https://ehsan.sa/projects/0/48433?amount=null,شعبان
55,P49318,التكفل بالعمرة للمتعففين,360000,2025-02-23,200,المواطنون,34476,جمعية أصدقاء لاعبي كرة القدم الخيرية,الرياض,https://ehsan.sa/projects/0/48319?amount=null,شعبان
56,P49429,العمليات الجراحية للمتعففين,251013,2025-02-23,16,المواطنون والمقيمون بالمملكة,9055,جمعية زمزم الصحية,جدة,https://ehsan.sa/projects/0/48430?amount=null,شعبان
57,P49393,سقيا الماء لضيوف الرحمن,500000,2025-02-21,500000,المقيمون بالمملكة,46529,جمعية عروى الخيرية,مكة المكرمة,https://ehsan.sa/projects/0/48394?amount=null,شعبان
58,P49416,سداد إيجار منازل الأسر المتعففة,250000,2025-02-21,50,المواطنون,269,الجمعية الخيرية بالقويعية,القويعية,https://ehsan.sa/projects/0/48417?amount=null,شعبان
59,P49426,السلال الغذائية للأسر المتعففة,281692,2025-02-21,150,المواطنون,309,الجمعية الخيرية بمركز النجيل,النجيل,https://ehsan.sa/projects/0/48427?amount=null,شعبان
60,P49427,الأجهزة الكهربائية للمتعففين,364000,2025-02-20,182,المواطنون والمقيمون بالمملكة,8,الجمعية الخيرية ببني سعد,بنى سعد,https://ehsan.sa/projects/0/48428?amount=null,شعبان
61,P49407,الرعاية الصحية المنزلية للمرضى المتعففين,654000,2025-02-20,218,المواطنون,13929,جمعية عناية الصحية,الرياض,https://ehsan.sa/projects/0/48408?amount=null,شعبان
62,P49421,الأجهزة الكهربائية لأسر الأيتام,100000,2025-02-20,75,المواطنون والمقيمون بالمملكة,8188,جمعية رعاية الأيتام بمحافظة الجموم,الجموم,https://ehsan.sa/projects/0/48424?amount=null,شعبان
63,P49409,سقيا الماء,60120,2025-02-17,167,المواطنون والمقيمون بالمملكة,6117,سند الخير للخدمات الأنسانية,جدة,https://ehsan.sa/projects/0/48410?amount=null,شعبان
64,P49346,علاج وتأهيل ذوي الإعاقة,252000,2025-02-15,24,المواطنون والمقيمون بالمملكة,13943,جمعية رعاية المعاقين,طريف,https://ehsan.sa/projects/0/48347?amount=null,شعبان
65,P49396,السلال الغذائية للأسر المتعففة,248850,2025-02-15,711,المواطنون,13581,جمعية التنمية الأهلية بمدينة الروضة,الروضة,https://ehsan.sa/projects/0/48397?amount=null,شعبان
66,P49397,توفير خزانات المياه للأسر المتعففة,210000,2025-02-15,42,المواطنون,19442,جمعية حواء النسائية,عقلة الصقور,https://ehsan.sa/projects/0/48398?amount=null,شعبان
67,P49357,وجبات الإفطار للصائمين,150000,2025-02-14,500,المقيمون بالمملكة,9822,الجمعية الخيرية بالمزاحمية,المزاحمية,https://ehsan.sa/projects/0/48358?amount=null,شعبان
68,P49394,كسوة الأيتام,265000,2025-02-14,530,المواطنون,16902,جمعية الملك فهد الخيرية النسائية,جازان,https://ehsan.sa/projects/0/48395?amount=null,شعبان
69,P49378,كفالة الأرامل والمطلقات,324000,2025-02-13,108,المواطنون والمقيمون بالمملكة,15443,جمعية بكة للخدمات الإنسانية,مكة المكرمة,https://ehsan.sa/projects/0/48379?amount=null,شعبان
70,P49379,وجبات الإفطار للصائمين,125160,2025-02-12,298,المقيمون بالمملكة,4570,جمعية الدعوة والارشاد وتوعية الجاليات في مركز البجادية,البجادية,https://ehsan.sa/projects/0/48380?amount=null,شعبان
71,P49351,عملية عاجلة لطفل مصاب بسرطان الدم,273418,2025-02-11,1,المقيمون بالمملكة,6581,بصمة تفاؤل لمرضى سرطان الاطفال,الرياض,https://ehsan.sa/projects/0/48352?amount=null,شعبان
72,P49370,كسوة الأسر المتعففة,189000,2025-02-10,189,المواطنون,15804,جمعية عمر بن الخطاب الاهلية بالفويلق,الفويلق,https://ehsan.sa/projects/0/48371?amount=null,شعبان
73,P49364,رعاية كبار السن المتعففين,300000,2025-02-10,402,المواطنون,19778,الجمعية الخيرية بالقويعية,القويعية,https://ehsan.sa/projects/0/48365?amount=null,شعبان
74,P49326,سيارات نقل الجنائز,100000,2025-02-07,37608,المواطنون والمقيمون بالمملكة,7845,جمعية معاد لشؤون الموتى بالعقيق,العقيق,https://ehsan.sa/projects/0/48327?amount=null,شعبان
75,P49362,كفالة الأرامل والمطلقات,120000,2025-02-07,10,المواطنون,5651,جمعية اليمامة الأهلية,الرياض,https://ehsan.sa/projects/0/48363?amount=null,شعبان
76,P49330,توفير الأطراف الصناعية للمتعففين,200000,2025-02-07,8,المواطنون,14761,جمعية قدرة لرعاية الاشخاص ذوي الإعاقة,الرس,https://ehsan.sa/projects/0/48331?amount=null,شعبان
77,P49343,سداد إيجار منازل الأسر المتعففة,296000,2025-02-07,37,المواطنون,17206,جمعية البر الخيرية بمحافظة حوطة بني تميم,حوطة بني تميم,https://ehsan.sa/projects/0/48344?amount=null,شعبان
78,P49314,أجهزة تنقية المياه لأسر الأيتام,99308,2025-02-07,95,المواطنون,6921,جمعية رعاية الأيتام بمحافظة أضم,أضم,https://ehsan.sa/projects/0/48315?amount=null,شعبان
79,P49320,كفالة حلقات تحفيظ القرآن الكريم,182000,2025-02-07,52,المواطنون,15189,الجمعية الخيرية لتحفيظ القران الكريم في الرس,الرس,https://ehsan.sa/projects/0/48321?amount=null,شعبان
80,P49340,السلال الغذائية للأسر المتعففة,250000,2025-02-06,350,المواطنون,17243,جمعية ليث للانقاذ,نجران,https://ehsan.sa/projects/0/48341?amount=null,شعبان
81,P49324,التحاليل الطبية للمصابين بالأمراض الوراثية,50000,2025-02-05,74,المقيمون بالمملكة,4058,جمعية المدينة لأمراض الدم الوراثية,المدينة المنورة,https://ehsan.sa/projects/0/48325?amount=null,شعبان
82,P49323,سقيا الماء للأسر المتعففة,500000,2025-02-05,30000,المواطنون والمقيمون بالمملكة,44583,جمعية إكرام لحفظ النعمة بخميس مشيط,خميس  مشيط,https://ehsan.sa/projects/0/48324?amount=null,شعبان
83,P49329,كفالة دعاة الجاليات,42000,2025-02-02,2,المقيمون بالمملكة,3415,جمعية الدعوة والإرشاد وتوعية الجاليات بمحافظة بلقرن,بلقرن,https://ehsan.sa/projects/0/48330?amount=null,شعبان
84,P49289,تدريب وتأهيل المتعففين,100000,2025-02-01,50,المواطنون,7327,جمعية التنمية الأهلية بمحايل عسير,محايل عسير,https://ehsan.sa/projects/0/48290?amount=null,شعبان
85,P49301,كسوة الأسر المتعففة,100000,2025-01-31,290,المواطنون والمقيمون بالمملكة,7211,صلة للخدمات الانسانية بغرب مكه,مكة المكرمة,https://ehsan.sa/projects/0/48302?amount=null,شعبان
86,P49201,كفالة حلقات القرآن الكريم,214400,2025-01-31,67,المواطنون,13758,جمعية تحفيظ القرآن الكريم بمحافظة بيش,بيش,https://ehsan.sa/projects/0/48202?amount=null,شعبان
87,P49313,سقيا الماء لضيوف الرحمن,600000,2025-01-30,600000,المواطنون والمقيمون بالمملكة,45090,جمعية اصدقاء المجتمع الخيرية,مكة المكرمة,https://ehsan.sa/projects/0/48314?amount=null,رجب
88,P49298,سداد إيجار منازل الأسر المتعففة,78000,2025-01-30,13,المواطنون,1917,جمعية فضلا الخيرية,مركز فضلا,https://ehsan.sa/projects/0/48299?amount=null,رجب
89,P49284,الأجهزة الكهربائية للمتعففين,135000,2025-01-30,75,المواطنون,7884,جمعية الخدمات الانسانية ببدائع الضبطان,بدائع الضبطان,https://ehsan.sa/projects/0/48285?amount=null,رجب
90,P49300,أجهزة التدفئة للأسر المتعففة,22500,2025-01-29,309,المواطنون,1293,جمعية البر الخيرية بمركز النقيع,بيشة,https://ehsan.sa/projects/0/48301?amount=null,رجب
91,P49288,التكفل بالعمرة للجاليات,100000,2025-01-29,350,المواطنون والمقيمون بالمملكة,6717,جمعية الدعوة والإرشاد وتوعية الجاليات,احدالمسارحة,https://ehsan.sa/projects/0/48289?amount=null,رجب
92,P49285,كفالة الأرامل والمطلقات,225000,2025-01-29,75,المواطنون,11839,جمعية البر الخيرية بمركز فيضة المسلح,الطائف,https://ehsan.sa/projects/0/48286?amount=null,رجب
93,P49299,أجهزة التدفئة للأسر المتعففة,9180,2025-01-29,51,المواطنون,534,جمعية الخدمات الإنسانية بمركز المطيوي الجنوبي,المطيوي الجنوبي,https://ehsan.sa/projects/0/48300?amount=null,رجب
94,P49277,كفالة حلقات تحفيظ القرآن الكريم,82000,2025-01-28,126,المواطنون والمقيمون بالمملكة,4615,جمعية تحفيظ القرآن الكريم بمركز قناء,حائل,https://ehsan.sa/projects/0/48278?amount=null,رجب
95,P49273,سداد إيجار منازل الأسر المتعففة,181200,2025-01-27,15,المواطنون,9060,جمعية نواره للترميم اتمام,الرياض,https://ehsan.sa/projects/0/48274?amount=null,رجب
96,P49270,الكفالة التعليمية للطلاب المتعففين,97920,2025-01-27,68,المواطنون,5681,جمعية التنمية الأهلية في المحفر,موقق,https://ehsan.sa/projects/0/48271?amount=null,رجب
97,P49251,المستلزمات الطبية للمرضى المتعففين,357000,2025-01-27,119,المواطنون,22452,ذو النون للرعاية الصحية المنزلية,حائل,https://ehsan.sa/projects/0/48252?amount=null,رجب
98,P49269,توفير برادات المياه للأسر المتعففة,157500,2025-01-27,350,المواطنون والمقيمون بالمملكة,13714,جمعية ايخاء السكنية,رفحاء,https://ehsan.sa/projects/0/48270?amount=null,رجب
99,P49246,ترميم مساكن الأسر المتعففة,255000,2025-01-27,17,المواطنون,17152,الدعم السكني بعقلة الصقور,عقلة الصقور,https://ehsan.sa/projects/0/48249?amount=null,رجب
100,P49255,ترميم وتأهيل مغاسل الأموات,100000,2025-01-27,300,المواطنون والمقيمون بالمملكة,7459,جمعية الريحان لإكرام الموتى بمحافظة أملج,أملج,https://ehsan.sa/projects/0/48256?amount=null,رجب
101,P49249,تأثيث منازل المتعففين,250000,2025-01-27,307,المواطنون,17281,جمعية البرالخيرية بمركز العماير,عمائر ال حميدان,https://ehsan.sa/projects/0/48250?amount=null,رجب
102,P49283,دعم حلقات تحفيظ القرآن الكريم,120000,2025-01-27,115,المواطنون والمقيمون بالمملكة,3007,الجمعية الخيرية لتحفيظ القرآن الكريم بحائل,حائل,https://ehsan.sa/projects/0/48284?amount=null,رجب
103,P49263,رعاية وتأهيل أطفال ذوي الإعاقة,84500,2025-01-26,25,المواطنون,6101,جمعية ذوي اضطرابات النطق واللغة,الرياض,https://ehsan.sa/projects/0/48264?amount=null,رجب
104,P49260,جهاز منظم ضربات القلب لمريض متعفف,46000,2025-01-26,1,المواطنون والمقيمون بالمملكة,1064,جمعية رعاية مرضى القلب,الرياض,https://ehsan.sa/projects/0/48261?amount=null,رجب
105,P49256,دعم المقبلين على الزواج,190000,2025-01-26,38,المواطنون,14557,جمعية التنمية الاهلية بحقال,حقال,https://ehsan.sa/projects/0/48257?amount=null,رجب
106,P49271,أجهزة التدفئة للأسر المتعففة,22500,2025-01-26,99,المواطنون,1950,جمعية التيسير لموقوفي الخدمات,عسير,https://ehsan.sa/projects/0/48272?amount=null,رجب
107,P49252,دعم حلقات تحفيظ القرآن الكريم,300000,2025-01-26,62,المواطنون والمقيمون بالمملكة,27572,جمعية تحفيظ القران الكريم بالنماص,النماص,https://ehsan.sa/projects/0/48253?amount=null,رجب
108,P49259,عملية قلب مفتوح لمريض متعفف,40000,2025-01-24,1,المواطنون والمقيمون بالمملكة,2772,جمعية رعاية مرضى القلب,الرياض,https://ehsan.sa/projects/0/48260?amount=null,رجب
109,P49245,سداد إيجار منازل الأسر المتعففة,181200,2025-01-24,15,المواطنون,10298,جمعية نواره للترميم اتمام,الرياض,https://ehsan.sa/projects/0/48246?amount=null,رجب
110,P49233,دعم المقبلين على الزواج,300000,2025-01-20,30,المواطنون,21937,جمعية وتين الخير للتنمية الأسرية,الحناكية,https://ehsan.sa/projects/0/48234?amount=null,رجب
111,P49236,الرعاية الصحية لمرضى الفشل الكلوي,242000,2025-01-19,11,المواطنون والمقيمون بالمملكة,17026,جمعية سفانة الخيرية للخدمات الصحية بحائل,حائل,https://ehsan.sa/projects/0/48237?amount=null,رجب
112,P49206,تأثيث منازل المتعففين,250000,2025-01-17,307,المواطنون,17596,جمعية البرالخيرية بمركز العماير,عمائر ال حميدان,https://ehsan.sa/projects/0/48207?amount=null,رجب
113,P49196,الأجهزة الطبية للمتعففين,410000,2025-01-16,95,المواطنون والمقيمون بالمملكة,34136,جمعية عطاء الطبية بمحافظة صامطة,صامطة,https://ehsan.sa/projects/0/48197?amount=null,رجب
114,P49229,رحلات العمرة للمتعففين,125000,2025-01-16,500,المواطنون والمقيمون بالمملكة,11576,جمعية الدعوة والإرشاد وتوعية الجاليات بساحل الجعافرة,قوز الجعافرة,https://ehsan.sa/projects/0/48230?amount=null,رجب
115,P49237,سقيا الماء للمتعففين,100000,2025-01-15,100000,المواطنون والمقيمون بالمملكة,10042,جمعية التنمية الاهلية بحي الموظفين ومدينة سلطان,مدينة سلطان,https://ehsan.sa/projects/0/48238?amount=null,رجب
116,P49208,تموين الأسر المتعففة,250000,2025-01-15,242,المواطنون والمقيمون بالمملكة,19079,جمعية البر الخيرية بدليهان,موقق,https://ehsan.sa/projects/0/48209?amount=null,رجب
117,P49199,رعاية كبار السن المتعففين,350000,2025-01-15,32,المواطنون,24892,جمعية البر الخيرية بمركزي الصور ومهر بوادي ترج,بيشة,https://ehsan.sa/projects/0/48200?amount=null,رجب
118,P49209,توفير الأدوية للمرضى المتعففين,150000,2025-01-15,50,المواطنون,10626,جمعية التنمية الاهلية بحقال,حقال,https://ehsan.sa/projects/0/48210?amount=null,رجب
119,P49207,كفالة رواتب معلمي ومعلمات حلقات تحفيظ القرآن الكريم,192000,2025-01-15,96,المواطنون,14727,جمعية تحفيظ القرآن الكريم   بالمندق,المندق,https://ehsan.sa/projects/0/48208?amount=null,رجب
120,P49189,الأجهزة الكهربائية للأسر المتعففة,270000,2025-01-14,187,المواطنون,23386,جمعية البر الخيرية بالهمجة,النبهانية,https://ehsan.sa/projects/0/48190?amount=null,رجب
121,P49228,سقيا الماء للأسر المتعففة,150195,2025-01-14,589,المواطنون,14023,جمعية البر الأهلية بمحافظة الحجرة,الحجرة,https://ehsan.sa/projects/0/48229?amount=null,رجب
122,P49197,الرعاية الصحية للمرضى المتعففين,300000,2025-01-13,143,المواطنون,20189,جمعية أفق للعناية بالصحه النفسية والارتقاء بالسلوك,حائل,https://ehsan.sa/projects/0/48198?amount=null,رجب
123,P49215,كفالة الأرامل والمطلقات,78000,2025-01-12,26,المواطنون والمقيمون بالمملكة,5143,جمعية أيتام الخطة رفقاء,الخطة,https://ehsan.sa/projects/0/48216?amount=null,رجب
124,P49187,ترميم مساكن الأسر المتعففة,375000,2025-01-12,12,المواطنون,18101,جمعية البر الخيرية باليتمة,اليتمة,https://ehsan.sa/projects/0/48188?amount=null,رجب
125,P49218,أجهزة التدفئة للأسر المتعففة,173040,2025-01-10,206,المواطنون,12654,جمعية حواء النسائية,عقلة الصقور,https://ehsan.sa/projects/0/48219?amount=null,رجب
126,P49183,النقل المدرسي للطلاب والطالبات المتعففين,150000,2025-01-10,94,المواطنون والمقيمون بالمملكة,15464,جمعية الصديقة التعليمية,جدة,https://ehsan.sa/projects/0/48184?amount=null,رجب
127,P49211,سقيا الماء للأسر المتعففة,157000,2025-01-10,634,المواطنون,14380,جمعية خير للخدمات الإنسانية بمركز الجرذاوية,الجرذاوية,https://ehsan.sa/projects/0/48212?amount=null,رجب
128,P49221,عملية قلب لمريض متعفف,80500,2025-01-10,1,المواطنون والمقيمون بالمملكة,5105,جمعية رعاية مرضى القلب,الرياض,https://ehsan.sa/projects/0/48222?amount=null,رجب
129,P49195,السلال الغذائية للأسر المتعففة,140000,2025-01-08,700,المواطنون والمقيمون بالمملكة,9322,جمعية البر الأهلية ببني كبير,بني كبير,https://ehsan.sa/projects/0/48196?amount=null,رجب
